Accession	Name
NF036421.4	Terminase RNaseH-like domain
NF036437.4	DUF5367 family protein
NF036452.4	DUF5305 family protein
NF036468.4	terminase large subunit
NF036481.4	SfsA N-terminal OB domain
NF036482.4	glycoside hydrolase family 2 protein
NF036483.4	UvrA DNA-binding domain
NF036484.4	UvrA interaction domain
NF036491.4	Arginine decarboxylase helical bundle domain
NF036497.4	PDZ domain-containing protein
NF036499.4	Gylcosyl hydrolase family 115 C-terminal domain
NF036516.4	Peptidase M61 N-terminal domain
NF036518.4	MalK OB fold domain
NF036521.4	Tetracyclin repressor-like, C-terminal domain
NF036525.4	Tetracyclin repressor-like, C-terminal domain
NF036527.4	Polyphosphate kinase C-terminal domain 1
NF036537.4	LodA/GoxA family CTQ-dependent oxidase
NF036541.4	4Fe-4S iron-sulfur cluster binding domain
NF036542.4	C-terminal domain found in long catalases
NF036552.4	DUF5309 family protein
NF036557.4	DUF5316 family protein
NF036560.4	CRISPR-associated endonuclease Cas6
NF036563.4	DUF5343 domain-containing protein
NF036574.4	DUF5395 family protein
NF036578.4	Bacterial alpha-L-rhamnosidase 6 hairpin glycosidase domain
NF036579.4	alpha-L-rhamnosidase C-terminal domain-containing protein
NF036581.4	DUF1611 domain-containing protein
NF036590.4	aminopeptidase N C-terminal domain-containing protein
NF036614.4	DUF5362 family protein
NF036632.4	lacto-N-biose phosphorylase central domain-containing protein
NF036634.4	Urocanase N-terminal domain
NF036635.4	Urocanase C-terminal domain
NF036686.4	Arylmalonate decarboxylase
NF036688.4	DUF5518 domain-containing protein
NF036698.4	Restriction endonuclease AspBHI N-terminal
NF036704.4	Archaeal glycosylation protein B long peripheral domain
NF036707.4	DAPG hydrolase PhiG domain
NF036710.4	carbohydrate-binding domain-containing protein
NF036720.4	SMODS-associated and fused to various effectors sensor domain
NF036723.4	Adaptive response protein AidB N-terminal domain
NF036726.4	GNAT-like C-terminal domain
NF036729.4	TIR- and PNP-associating SLOG family
NF036745.4	DUF5603 domain-containing protein
NF036750.4	Phe-tRNA synthetase beta subunit B1 domain
NF036757.4	Tc toxin complex TcA C-terminal TcB-binding domain
NF036761.4	pre ATP-grasp 3 domain
NF036766.4	RACo linker region
NF036772.4	LD-carboxypeptidase C-terminal domain
NF036773.4	glycosyl hydrolase-related protein
NF036789.4	Dam-replacing HTH domain
NF036798.4	Proteasomal ATPase OB N-terminal domain
NF036799.4	Phenylalanyl tRNA synthetase beta chain CLM domain
NF036800.4	HTH domain found in ParB protein
NF036805.4	Beta-lactamase associated winged helix domain
NF036806.4	DprA winged helix domain
NF036807.4	sulfotransferase
NF036808.4	PUA-like domain
NF036809.4	Mannosidase Ig/CBM-like domain
NF036810.4	HypF Kae1-like domain
NF036814.4	Bacterial cadherin-like domain
NF036822.4	PglD N-terminal domain
NF036825.4	Dis3-like cold-shock domain 2 (CSD2)
NF036826.4	Beta xylosidase C-terminal Concanavalin A-like domain
NF036827.4	DNA translocase FtsK
NF036828.4	MCM AAA-lid domain
NF036831.4	AAA lid domain
NF036834.4	AAA lid domain
NF036844.4	APAF-1 helical domain
NF036846.4	Reverse gyrase zinc finger
NF036850.4	Shikimate 5'-dehydrogenase C-terminal domain
NF036854.4	Bacterial dipeptidyl-peptidase Sh3 domain
NF036870.4	LodA/GoxA family CTQ-dependent oxidase
NF036873.4	Esterase Ig-like N-terminal domain
NF036876.4	DUF5612 domain-containing protein
NF036887.4	AF1514 family protein
NF036895.4	Carbon monoxide dehydrogenase subunit alpha N-terminal domain
NF036911.4	protein-glutamine glutaminase family protein
NF036920.4	BsaWI family type II restriction enzyme
NF036933.4	IgGFc binding protein
NF036965.4	RACo middle region
NF036966.4	glycosyl hydrolase
NF036971.4	Fungal protein kinase
NF036972.4	HHH domain
NF036989.4	Ribbon-Helix-Helix transcriptional regulator family
NF036995.4	DUF1016 N-terminal domain-containing protein
NF036996.4	Glutaminase/Asparaginase C-terminal domain
NF036998.4	Nicotinate phosphoribosyltransferase (NAPRTase) N-terminal domain
NF036999.4	Insertion domain in 60S ribosomal protein L10P
NF037000.4	Macroglobulin domain MG3
NF037003.4	Alpha galactosidase C-terminal beta sandwich domain
NF037007.4	Tetracyclin repressor-like, C-terminal domain
NF037009.4	Tetracyclin repressor-like, C-terminal domain
NF037012.4	Quercetinase C-terminal cupin domain
NF037013.4	Cas6b N-terminal domain
NF037014.4	Nicotinate phosphoribosyltransferase C-terminal domain
NF037015.4	Ig-like domain-containing protein
NF037016.4	Ig-like domain-containing protein
NF037020.4	Thioredoxin like C-terminal domain
NF037026.4	Acetyltransferase (GNAT) domain
NF037030.4	Alpha-(1,3)-fucosyltransferase FucT N-terminal domain
NF037031.4	M14-type cytosolic carboxypeptidase
NF037032.4	RimK PreATP-grasp domain
NF037034.4	PatG C-terminal
NF037036.4	Lipase C-terminal domain
NF037043.4	THUMP domain-like
NF037045.4	nicotinamide phosphoribosyltransferase domain-containing protein
NF037047.4	ATP-grasp N-terminal domain
NF037060.4	minimal CRISPR polymerase domain
NF037061.4	SMODS and SLOG-associating 2TM effector domain 3
NF037063.4	PIH1 CS-like domain
NF037066.4	Csm1 subunit domain B
NF037074.4	Metal-independent restriction enzyme BfiI DNA binding domain
NF037084.4	Glutamine synthetase C-terminal domain
NF037095.4	LA2681 family HEPN domain-containing protein
NF037096.4	HEPN domain-containing protein
NF037099.4	Heliorhodopsin
NF037100.4	Polymerase beta, Nucleotidyltransferase
NF037126.4	AbiJ N-terminal domain 4
NF037127.4	AbiJ N-terminal domain 5
NF037131.4	AsnC-like ligand binding domain
NF037134.4	NOG1 N-terminal helical domain
NF037139.4	AAA+ lid domain
NF037140.4	RuvB AAA lid domain
NF037142.4	DUF5591 domain-containing protein
NF037143.4	HSP20-like domain found in ArsA
NF037144.4	cadherin-like domain-containing protein
NF037152.4	Tetracyclin repressor-like, C-terminal domain
NF037153.4	CRISPR Csm4 C-terminal domain
NF037161.4	Actin like proteins N terminal domain
NF037167.4	Acetyltransferase (GNAT) domain
NF037170.4	VOC family protein
NF037180.4	Formylglycinamide ribonucleotide amidotransferase linker domain
NF037181.4	Rubredoxin metal binding domain
NF037183.4	permease-like cell division protein FtsX
NF037202.4	type ISP restriction/modification enzyme
NF037206.4	S-4TM family putative pore-forming effector
NF037207.4	SMODS and SLOG-associating 2TM effector domain family 5
NF037211.4	Ligase Pab1020 C-terminal region
NF037238.4	neuraminidase-like domain-containing protein
NF037241.4	Zinc binding domain
NF037255.4	PIN-like domain-containing protein
NF037260.4	RuvC nuclease domain
NF037269.4	methanogen output domain 1-containing protein
NF037270.4	Thaumarchaeal output domain 1
NF037272.4	lectin like domain-containing protein
NF037284.4	SLOG in TRPM, prokaryote
NF037285.4	Bacterial HORMA domain 2
NF037286.4	Sir2- and TIR-associating SLOG family
NF037287.4	SMODS and SLOG-associating 2TM effector domain family 4
NF037289.4	GatD N-terminal domain
NF037322.4	Csc2 Crispr
NF037334.4	Rhamnogalacturonan I lyases beta-sheet domain
NF037336.4	Mevalonate 5-diphosphate decarboxylase C-terminal domain
NF037341.4	Glucosyltransferase 24
NF037344.4	ATP-grasp-like domain
NF037353.4	Xeroderma pigmentosum group B helicase damage recognition domain
NF037356.4	Rieske 3Fe-4S
NF037377.4	Cch helix turn helix domain
NF037378.4	Carbohydrate-binding module 64
NF037401.4	Amino acid:DNA transferase
NF037404.4	AbiV
NF037405.4	REase_MTES_1575
NF037406.4	REase_DpnII-MboI
NF037410.4	Nucleotide modification associated domain 2
NF037411.4	Nucleotide modification associated domain 3
NF037413.4	Nitrous oxide reductase propeller repeat
NF037417.4	Homing endonuclease associated repeat
NF037429.4	Bacterial archaeo-eukaryotic release factor family 10
NF037430.4	Vms1/Ankzf1 family peptidyl-tRNA hydrolase
NF037434.4	PIN like domain
NF037435.4	DUF5616 domain-containing protein
NF037440.4	Alpha helical recognition lobe domain
NF037442.4	RelB Antitoxin alpha helical domain
NF037443.4	Nuclease domain
NF037476.4	Bacterial Alpha amylase C-terminal domain
NF037477.4	contact-dependent growth inhibition system immunity protein
NF037498.4	nucleotide kinase domain-containing protein
NF037501.4	Swt1 family HEPN domain-containing protein
NF037510.4	SWI2/SNF2 ATPase
NF037514.4	Invertebrate-AID/APOBEC-deaminase
NF037521.4	zincin-like metallopeptidase domain-containing protein
NF037526.4	Bacterial archaeo-eukaryotic release factor family 2
NF037527.4	Bacterial archaeo-eukaryotic release factor family 3
NF037529.4	LPD38 domain-containing protein
NF037530.4	AbiJ N-terminal domain 3
NF037531.4	ApeA N-terminal domain 1
NF037546.4	methylamine utilization protein MauJ
NF037565.4	phage tail sheath C-terminal domain-containing protein
NF037610.4	Acetyltransferase (GNAT) domain
NF037611.4	Glycosyl hydrolase family 92 N-terminal domain
NF037617.4	BsuBI/PstI restriction endonuclease HTH domain
NF037626.4	UvrB interaction domain
NF037629.4	Phosphoribosylaminoimidazole carboxylase C-terminal domain
NF037633.4	OCRE domain-containing protein
NF037639.4	SpaA isopeptide-forming pilin-related protein
NF037640.4	Sarcosine oxidase A3 domain
NF037646.4	Tma20 N-terminal domain-containing protein
NF037652.4	CysA C-terminal regulatory domain
NF037656.4	AAA lid domain
NF037658.4	AAA lid domain
NF037660.4	MalT-like TPR region
NF037667.4	Peptidase M1 N-terminal domain
NF037668.4	Krr1 KH1 domain
NF037670.4	FeoB cytosolic helical domain
NF037672.4	T3SS effector HopA1 family protein
NF037677.4	Tetracyclin repressor-like, C-terminal domain
NF037703.4	Type 2 DNA topoisomerase 6 subunit B C-terminal domain
NF037707.4	HD domain-containing protein
NF037713.4	PatG Domain
NF037716.4	cyclophilin-like fold protein
NF037718.4	DR2241 family protein
NF037719.4	acyltransferase domain-containing protein
NF037722.4	UPF0242 C-terminal PAS-like domain
NF037735.4	HAD domain-containing protein
NF037736.4	Second Messenger Oligonucleotide or Dinucleotide Synthetase domain
NF037740.4	SMODS-associating 2TM, beta-strand rich effector domain
NF037746.4	SMODS and SLOG-associating 2TM effector domain 1
NF037749.4	DUF5602 domain-containing protein
NF037753.4	PGF-CTERM sorting domain-containing protein
NF037763.4	Tk-SP N-propeptide domain
NF037773.4	Rubredoxin NAD+ reductase C-terminal domain
NF037782.4	NFACT protein RNA binding domain
NF037785.4	SLOG cluster4 family
NF037830.4	PIN like domain
NF037832.4	DUF5615 family PIN-like protein
NF037833.4	Bacterial lectin
NF037850.4	Glycoside hydrolase family 2 C-terminal domain 5
NF037860.4	L-amino acid ligase C-terminal domain 2
NF037864.4	RNase II-type exonuclease C-terminal S1 domain
NF037884.4	DNA polymerase II intein Domain IV
NF037887.4	Cthe_2314 family HEPN domain-containing protein
NF037888.4	AbiU2
NF037889.4	HEPN domain-containing protein
NF037890.4	MAE_28990/MAE_18760 family HEPN-like nuclease
NF037895.4	Restriction Enzyme Adenine Methylase Associated
NF037897.4	ADP-Ribosyltransferase in polyvalent proteins
NF037908.4	Nitrous oxide reductase propeller repeat 2
NF037930.4	AbiTii
NF037947.1	bacteriophage holin
NF037959.1	fused MFS/spermidine synthase
NF037962.1	arsenic efflux protein
NF037968.1	SemiSWEET transporter
NF037970.1	VanZ family protein
NF037979.1	sodium-dependent transporter
NF037981.1	purine/pyrimidine permease
NF037982.1	Nramp family divalent metal transporter
NF037995.1	TRAP transporter substrate-binding protein DctP
NF037997.1	Na/Pi symporter
NF038011.1	GT4 family glycosyltransferase PelF
NF038013.1	acetate uptake transporter
NF038017.1	ABC transporter permease
NF038018.1	quinone-interacting membrane-bound oxidoreductase complex subunit QmoC
NF038020.1	heliorhodopsin HeR
NF038032.1	CehA/McbA family metallohydrolase
NF038037.1	sulfate reduction electron transfer complex DsrMKJOP subunit DsrM
NF038038.1	sulfate reduction electron transfer complex DsrMKJOP subunit DsrJ
NF038050.1	nitrate/nitrite transporter NrtS
NF038065.1	Pr6Pr family membrane protein
NF038084.1	DHCW motif cupin fold protein
NF038085.1	MSMEG_6728 family protein
NF038101.1	methytransferase partner Trm112
NF038114.1	PxKF domain-containing protein
NF038117.1	choice-of-anchor I family protein
NF038123.1	spondin domain-containing protein
NF038125.1	THxN family PEP-CTERM protein
NF038128.1	choice-of-anchor J domain-containing protein
NF038131.1	choice-of-anchor K domain-containing protein
NF038133.1	choice-of-anchor L domain-containing protein
NF038162.1	intein-containing RctB family protein
NF038196.1	EFR1 family ferrodoxin
NF038214.1	IS21-like element helper ATPase IstB
NF038233.2	retron St85 family RNA-directed DNA polymerase
NF038245.1	choloylglycine hydrolase
NF038262.1	SiaB family protein kinase
NF038281.1	IS200/IS605 family element RNA-guided endonuclease TnpB
NF038283.1	viperin family antiviral radical SAM protein
NF038316.1	DrmE family protein
NF038317.1	DISARM system SNF2-like helicase DrmD
NF038324.1	DrmB family protein
NF038326.1	DISARM system helicase DrmA
NF038353.1	FxLYD domain-containing protein
NF038356.1	DLW-39 family protein
NF038364.1	AglZ/HisF2 family acetamidino modification protein
NF038399.1	Os1348 family NHLP clan protein
NF038402.1	helical backbone metal receptor
NF038403.1	permease prefix domain 1-containing protein
NF039178.3	MBG domain-containing protein
NF039179.3	beta-helix repeat protein
NF039180.3	DUF5652 family protein
NF039181.3	putative metallopeptidase
NF039182.3	DUF5654 family protein
NF039183.3	DUF5658 family protein
NF039184.3	dATP/dGTP diphosphohydrolase domain-containing protein
NF039185.3	double zinc ribbon domain-containing protein
NF039186.3	lycopene cyclase domain-containing protein
NF039187.3	DUF5668 domain-containing protein
NF039189.3	DUF5671 domain-containing protein
NF039192.3	DUF5678 domain-containing protein
NF039193.3	DUF5679 domain-containing protein
NF039195.3	PsbP-related protein
NF039196.3	HAMP domain
NF039197.3	DUF5694 domain-containing protein
NF039198.3	DUF5698 domain-containing protein
NF039204.3	DUF5715 family protein
NF039216.3	RNase LS, bacterial toxin DBD domain
NF039222.3	Ligase-CoA domain
NF039236.3	Vanillate O-demethylase oxygenase C-terminal domain
NF039260.3	MupG family TIM beta-alpha barrel fold protein
NF039279.3	Contractile injection system tube protein
NF039283.3	trehalase-like domain-containing protein
NF039286.3	3-Ketosteroid 9alpha-hydroxylase C-terminal domain
NF039287.3	Anticodon binding domain of methionyl tRNA ligase
NF039288.3	D-3-phosphoglycerate dehydrogenase intervening domain
NF039293.3	Ap4A phosphorylase N-terminal domain
NF039315.3	DUF5996 family protein
NF039321.3	DUF6015 family protein
NF039324.3	DUF6020 family protein
NF039329.3	PcRGLX-like N-terminal RIFT barrel domain
NF039330.3	DUF6036 family nucleotidyltransferase
NF039336.3	DUF6058 family natural product biosynthesis protein
NF039337.3	DUF6062 family protein
NF039346.3	ODP family beta lactamase
NF039348.3	TrbL/VirB6 plasmid conjugal transfer like protein
NF039352.3	DUF6114 domain-containing protein
NF039354.3	DUF6125 family protein
NF039358.3	DUF6141 family protein
NF039360.3	DUF6152 family protein
NF039362.3	DUF6159 family protein
NF039366.3	DUF6171 family protein
NF039368.3	DUF6176 family protein
NF039385.3	DUF6232 family protein
NF039390.3	Endonuclease domain
NF039397.3	DUF6276 family protein
NF039401.3	DUF6288 domain-containing protein
NF039402.3	DUF6290 family protein
NF039405.3	DUF6308 family protein
NF039407.3	DUF6320 domain-containing protein
NF039408.3	DUF6326 family protein
NF039409.3	DUF6328 family protein
NF039412.3	DUF6339 family protein
NF039417.3	DUF6364 family protein
NF039436.3	Double-GTPase 1
NF039447.3	macro domain-containing protein
NF039453.3	DUF6442 family protein
NF039463.3	DUF6463 family protein
NF039471.3	DUF6492 family protein
NF039475.3	DUF6508 domain-containing protein
NF039476.3	DUF6512 family protein
NF039478.3	DUF6519 domain-containing protein
NF039482.3	ATP-NAD kinase C-terminal domain
NF039493.3	Type IV secretion system pilin
NF039494.3	Lysozyme like domain
NF039495.3	Recombination directionality factor-like
NF039496.3	DUF5655 domain-containing protein
NF039497.3	DUF5673 domain-containing protein
NF039498.3	DUF5676 family membrane protein
NF039499.3	DUF5677 domain-containing protein
NF039500.3	DUF5680 domain-containing protein
NF039501.3	DUF5686 family protein
NF039502.3	DUF5691 domain-containing protein
NF039515.3	DUF5724 domain-containing protein
NF039543.3	DUF5807 family protein
NF039544.3	DUF5808 domain-containing protein
NF039579.3	HflX C-terminal domain
NF039581.3	Hydantoinase/oxoprolinase C-terminal domain
NF039584.3	CofH/MqnC C-terminal region
NF039585.3	DUF5915 domain-containing protein
NF039587.3	DUF5916 domain-containing protein
NF039588.3	Mesaconyl-CoA hydratase
NF039608.3	Prealbumin-like fold domain
NF039614.3	arginine deiminase-related protein
NF039623.3	DUF5995 family protein
NF039626.3	DUF6009 family protein
NF039634.3	DUF6046 domain-containing protein
NF039639.3	DUF6056 family protein
NF039641.3	DUF6064 family protein
NF039643.3	glycoside hydrolase domain-containing protein
NF039648.3	helix-turn-helix domain-containing protein
NF039662.3	DUF6119 family protein
NF039671.3	DUF6155 family protein
NF039682.3	DUF6194 family protein
NF039685.3	DUF6206 family protein
NF039694.3	DUF6230 family protein
NF039696.3	DUF6236 family protein
NF039701.3	DUF6249 domain-containing protein
NF039702.3	DUF6250 domain-containing protein
NF039707.3	DUF6259 domain-containing protein
NF039709.3	DUF6263 family protein
NF039710.3	DUF6270 domain-containing protein
NF039711.3	DUF6272 family protein
NF039722.3	DUF6311 domain-containing protein
NF039728.3	DUF6325 family protein
NF039733.3	DUF6338 family protein
NF039734.3	DUF6345 domain-containing protein
NF039735.3	DUF6348 family protein
NF039739.3	DUF6361 family protein
NF039776.3	GEVED domain-containing protein
NF039782.3	DUF6434 domain-containing protein
NF039785.3	DUF6440 family protein
NF039786.3	DUF6448 family protein
NF039791.3	DUF6470 family protein
NF039793.3	Protein-glutamine gamma-glutamyltransferase
NF039796.3	DUF6485 family protein
NF039801.3	DUF6506 family protein
NF039803.3	DUF6516 family protein
NF039805.3	three component ABC system middle component
NF039808.3	DUF6527 family protein
NF039815.3	TSP3 repeat-containing protein
NF039818.3	DUF5661 family protein
NF039819.3	phage tail tube protein
NF039820.3	DUF5662 family protein
NF039822.3	DUF5666 domain-containing protein
NF039823.3	DUF5667 domain-containing protein
NF039824.3	DUF5670 family protein
NF039825.3	DUF5684 domain-containing protein
NF039826.3	DUF5685 family protein
NF039832.3	SAP domain-containing new25
NF039834.3	DUF5711 family protein
NF039835.3	Divergent InlB B-repeat domain
NF039841.3	HYPK UBA domain
NF039842.3	DUF5752 family protein
NF039850.3	DUF5763 domain-containing protein
NF039857.3	EMC6-arch
NF039863.3	DUF5797 family protein
NF039864.3	DUF5798 family protein
NF039894.3	Radical SAM-like domain
NF039902.3	Anticodon binding domain
NF039904.3	HD associated region
NF039905.3	YegS C-terminal NAD kinase beta sandwich-like domain
NF039907.3	metallopeptidase TldD-related protein
NF039911.3	Helicase Lhr winged helix domain
NF039912.3	CRISPR Cas6 N-terminal domain
NF039927.3	DUF5946 family protein
NF039936.3	PKD-like domain
NF039953.3	DUF5989 family protein
NF039957.3	DUF6010 family protein
NF039974.3	DUF6061 family protein
NF039975.3	DUF6063 family protein
NF039976.3	DUF6065 family protein
NF039977.3	DUF6069 family protein
NF039980.3	DUF6076 domain-containing protein
NF039982.3	PRTRC system protein E
NF039983.3	DUF6079 family protein
NF039984.3	DUF6081 family protein
NF039986.3	DUF6084 family protein
NF039991.3	DUF6092 family protein
NF039999.3	DUF6122 family protein
NF040008.3	DUF6140 family protein
NF040013.3	DUF6166 domain-containing protein
NF040019.3	DUF6198 family protein
NF040028.3	DUF6220 domain-containing protein
NF040043.3	DUF6282 family protein
NF040048.3	DUF6298 domain-containing protein
NF040059.3	YqeC protein
NF040068.3	Radical SAM proteins, N-terminal
NF040080.3	DUF6398 domain-containing protein
NF040095.3	Ternary complex associated domain 9
NF040097.3	Double-GTPase 2
NF040103.3	DUF6431 domain-containing protein
NF040105.3	MoxR domain in the MoxR-vWA-beta-propeller ternary systems
NF040111.3	amphi-Trp domain-containing protein
NF040120.3	DUF6498-containing protein
NF040121.3	DUF6513 domain-containing protein
NF040138.3	PKD domain-containing protein
NF040139.3	Fructose-1-6-bisphosphatase, C-terminal domain
NF040141.3	DUF5675 family protein
NF040144.3	DUF5683 domain-containing protein
NF040146.3	DUF5689 domain-containing protein
NF040149.3	DUF5700 domain-containing putative Zn-dependent protease
NF040152.3	Pycsar system effector family protein
NF040157.3	DUF5714 domain-containing protein
NF040179.3	TraG P-loop domain
NF040195.3	Terpene synthase family 2, C-terminal metal binding
NF040198.3	DUF5787 family protein
NF040199.3	DUF5789 family protein
NF040202.3	DUF5799 family protein
NF040208.3	DUF5828 family protein
NF040218.3	Viral BACON domain
NF040238.3	DUF5906 domain-containing protein
NF040244.3	PmbA/TldA metallopeptidase central domain
NF040245.3	SufBD protein N-terminal region
NF040248.3	Binding-prot-dependent transport system membrane comp, N-term
NF040249.3	MmgE/PrpD C-terminal domain
NF040256.3	AMP deaminase
NF040257.3	2,4-diaminopentanoate dehydrogenase C-terminal domain
NF040269.3	AraR C-terminal winged HTH domain
NF040290.3	ACS/CODH beta subunit C-terminal
NF040299.3	DUF6011 domain-containing protein
NF040307.3	DUF6044 family protein
NF040318.3	Sporulation stage III, protein AA
NF040319.3	DUF6088 family protein
NF040320.3	ACT domain pair
NF040322.3	Endonuclease/Exonuclease/phosphatase family
NF040323.3	glyoxalase superfamily protein
NF040326.3	DUF6110 family protein
NF040329.3	DUF6116 family protein
NF040332.3	trypco2 family protein
NF040334.3	DUF6144 family protein
NF040350.3	DUF6199 family natural product biosynthesis protein
NF040368.3	DUF6273 domain-containing protein
NF040371.3	DUF6293 family protein
NF040372.3	DUF6294 family protein
NF040385.3	DUF6353 family protein
NF040386.3	DUF6356 family protein
NF040388.3	DUF6360 family protein
NF040395.3	DUF6378 domain-containing protein
NF040396.3	DUF6379 domain-containing protein
NF040403.3	DUF6414 family protein
NF040416.3	GTPase-associated protein 1, N-terminal domain type 2
NF040417.3	GTPase-associated protein 1, middle domain
NF040422.3	DUF6438 domain-containing protein
NF040425.3	DUF6444 domain-containing protein
NF040426.3	DUF6454 family protein
NF040432.3	Strictosidine synthase-like, N-terminal
NF040438.3	alpha/beta hydrolase domain-containing protein
NF040441.3	PF20097 family protein
NF040451.3	DUF6510 family protein
NF040494.1	nitrophenyl compound nitroreductase subunit ArsF family protein
NF040495.1	aromatic aminobenezylarsenical efflux permease ArsG family transporter
NF040501.1	arsenic resistance N-acetyltransferase ArsN2
NF040504.1	arsinothricin resistance N-acetyltransferase ArsN1 family B
NF040521.1	C45 family autoproteolytic acyltransferase/hydolase
NF040559.1	CRISPR-associated protein Csx20
NF040560.1	CRISPR-associated protein Csx15
NF040563.1	RNA-guided endonuclease IscB
NF040570.1	RNA-guided endonuclease TnpB family protein
NF040586.1	FxSxx-COOH system tetratricopeptide repeat protein
NF040603.2	choice-of-anchor P family protein
NF040647.1	isopentenyl phosphate kinase
NF040651.2	methanol--corrinoid protein co-methyltransferase MtaB
NF040667.1	homoserine kinase
NF040682.1	pyruvate synthase subunit PorA
NF040683.1	pyruvate synthase subunit PorC
NF040684.1	pyruvate synthase subunit PorD
NF040696.1	protein-S-isoprenylcysteine O-methyltransferase
NF040700.1	VPA1262 family N-terminal domain-containing protein
NF040707.2	siroheme decarboxylase subunit beta
NF040708.2	siroheme decarboxylase subunit alpha
NF040721.1	tRNA (guanine(6)-N2)-methyltransferase
NF040764.1	acetyl-CoA decarbonylase/synthase complex subunit alpha/beta
NF040770.1	CoB-CoM heterodisulfide reductase HdrA2
NF040772.1	double-cubane-cluster-containing anaerobic reductase
NF040786.1	selenium metabolism-associated LysR family transcriptional regulator
NF040815.2	site-specific tyrosine recombinase/integron integrase
NF040817.1	glutamate dehydrogenase
NF040840.2	tungstate ABC transporter ATP-binding protein WtpC
NF040863.1	mercury methylation corrinoid protein HgcA
NF040864.1	mercury methylation ferredoxin HgcB
NF040865.1	alanyl-tRNA editing protein AlaXM
NF040867.1	NAD-dependent protein deacetylase
NF040893.1	SAVMC3_10250 family protein
NF040901.1	selenite/tellurite reduction operon rhodanese-like protein ExtH
NF040913.1	SaoD/DsrE family protein
NF040955.1	DNA protection during starvation protein
NF040962.1	HgcAB-associated protein
NF040973.1	Sau3AI family type II restriction endonuclease
NF041004.1	beta-galactosidase BgaS
NF041018.1	glyceraldehyde dehydrogenase subunit alpha
NF041025.1	anti-phage dCTP deaminase
NF041046.1	UGSC family (seleno)protein
NF041052.1	OsmC-related (seleno)protein
NF041059.1	tRNA-guanine transglycosylase DpdA
NF041082.2	thermosome subunit alpha
NF041083.2	thermosome subunit beta
NF041095.1	divalent-cation tolerance protein CutA
NF041097.1	scyllo-inosose 3-dehydrogenase
NF041098.2	3-dehydro-scyllo-inosose hydrolase
NF041117.1	CBASS oligonucleotide cyclase
NF041123.1	4-phosphopantoate--beta-alanine ligase
NF041126.1	fructose-1,6-bisphosphate aldolase/phosphatase
NF041129.1	maltodextrin phosphorylase
NF041135.1	bifunctional L-myo-inositol-1-phosphate cytidylyltransferase/CDP-L-myo-inositol myo-inositolphosphotransferase
NF041155.1	family 1 encapsulin nanocompartment shell protein
NF041170.1	2-oxoacid:ferredoxin oxidoreductase subunit alpha
NF041171.1	2-oxoacid:ferredoxin oxidoreductase subunit beta
NF041175.1	ribonuclease HI
NF041200.1	BfmA/BtgA family mobilization protein
NF041212.1	Uxx-star family glutaredoxin-like (seleno)protein
NF041216.1	CU044_2847 family protein
NF041257.1	guanitoxin biosynthesis MBL fold metallo-hydrolase GntH
NF041302.1	hydroxymethylglutaryl-CoA synthase
NF041359.1	GntG family PLP-dependent aldolase
NF041364.1	guanitoxin biosynthesis PLP-dependent (S)-gamma-hydroxy-L-arginine cyclodehydratase GntC
NF041373.1	HGGxSTG domain-containing protein
NF041388.1	DNA starvation/stationary phase protection protein DpsA
NF041518.1	choice-of-anchor Q domain-containing protein
NF041523.1	post-COAP-1 domain-containing protein
NF041539.1	choice-of-anchor R domain-containing protein
NF041548.1	PssE/Cps14G family polysaccharide biosynthesis glycosyltransferase
NF041549.1	PssD/Cps14F family polysaccharide biosynthesis glycosyltransferase
NF041555.1	subtype A tannase
NF041591.1	VVA0879 family protein
NF041612.1	2Fe-2S ferredoxin
NF041622.1	anti-phage protein KwaA
NF041623.1	anti-phage protein KwaB
NF041635.1	STM3941 family protein
NF041646.1	VC0807 family protein
NF041656.1	MmRce1 family CPBP family CAAX prenyl protease
NF041755.1	bifunctional 3-hexulose-6-phosphate synthase/6-phospho-3-hexuloisomerase
NF041766.1	choice-of-anchor U domain-containing protein
NF041770.1	CFI-box-CTERM domain-containing protein
NF041799.1	archaeal heat shock protein Hsp14
NF041800.1	archaeal heat shock protein Hsp20
NF041813.1	AVAST type 2 anti-phage system protein Avs2
NF041815.1	AVAST type 4 anti-phage nuclease Avs4
NF041818.1	anti-phage defense-associated sirtuin Dsr1
NF041833.1	alcohol dehydrogenase-like regulatory protein ErcA
NF041874.1	serine O-acetyltransferase EpsC
NF041895.1	choice-of-anchor V domain-containing protein
NF041908.1	HVO_2922 family protein
NF041918.1	ubiquitin-like small modifier protein 1
NF041920.1	4-oxalocrotonate tautomerase DmpI
NF041928.1	choice-of-anchor W domain-containing protein
NF041940.1	choice-of-anchor X domain-containing protein
NF042448.2	sister chromatid cohesion protein PDS5
NF042459.2	DUF6573 family protein
NF042460.2	neuraminidase-like domain-containing protein
NF042461.2	DUF6580 family putative transport protein
NF042471.2	ABC-three component system protein
NF042474.2	ABC-three component system middle component 2
NF042476.2	ABC-three component system middle component 7
NF042477.2	ABC-three component system middle component 6
NF042478.2	DUF6610 family protein
NF042481.2	DUF6623 family protein
NF042490.2	DUF6650 family protein
NF042492.2	DUF6653 family protein
NF042511.2	DUF6544 family protein
NF042516.2	DUF6564 domain-containing protein
NF042524.2	Chromate resistance protein ChrB
NF042532.2	protealysin inhibitor emfourin
NF042533.2	immunoglobulin-like domain-containing protein
